id,message,num_users,category
264,Edit.PreviousHighlightedReference,13,Edit
265,Debug.DetachAll,18,Debug
266,TestExplorer.CancelTests,17,Test
267,TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageHistory,28,CMO
268,Edit.ClearOutputWindow,14,Navigation.Unstructured
269,Edit.FindPreviousSelected,7,Search
270,Edit.IncrementalSearch,8,Edit
271,ClassViewContextMenus.ClassViewProject.SourceControl.TfsContextGetLatestVersion,22,NULL
272,View.TfsTeamExplorer,24,CMO
273,ReSharper.ReSharper_ExtractMethod,12,NULL
274,TeamFoundationContextMenus.PendingChangesPageMoreLink.TfsContextPendingChangesRequestReview,10,CMO
275,ClassViewContextMenus.ClassViewProject.TfsContextCheckOutForEdit,34,View
276,File.NewProject,60,Actions
277,Debug.Immediate,16,Debug
278,View.Document Outline,28,NULL
279,TeamFoundationContextMenus.WorkItemActionLink.TfsContextPendingChangesPageWorkItemActionLinkAssociate,13,CMO
280,View.Resource View,24,NULL
281,EditorContextMenus.CodeWindow.OrganizeUsings.RemoveAndSort,9,Edit
282,View.Loading...,53,NULL
283,View.Reference Paths,35,View
284,ReSharper.ReSharper_GotoRecentFiles,11,NULL
285,EditorContextMenus.CodeWindow.OrganizeUsings.RemoveUnusedUsings,11,Edit
286,TeamFoundationContextMenus.PendingChangesPageMoreLink.TfsContextPendingChangesFindShelvesets,21,CMO
287,View.Publish,22,NULL
288,Edit.IncreaseLineIndent,8,Edit
289,View.Signing,47,View
290,View.Web.config,7,NULL
291,Data.RetrieveData,7,Data
292,EditorContextMenus.CodeWindow.ImplementInterface.ImplementInterface,8,Edit
293,Tools.PackageManagerSettings,12,Actions
294,ClassViewContextMenus.ClassViewProject.SourceControl.TfsContextGetSpecificVersion,21,View
295,ClassViewContextMenus.ClassViewProject.TfsContextGetSpecificVersion,21,View
296,Edit.ClearAll,21,Edit
297,View.Inspection Results,8,NULL
298,Tools.ExternalTools,25,Actions
299,View.Data Sources,25,Analyze
300,View.Command Window,35,Debug
301,EditorContextMenus.CodeWindow.SourceControl.TfsAnnotateAnnotateThisLine,16,CMO
302,Diff.PreviousDifference,13,View
303,View.Folder Difference,31,NULL
304,Build.ViewBuilds,22,Build
305,View.Services,43,View
306,View.Web Publish Activity,9,NULL
307,Edit.EditQuery,9,Edit
308,TeamFoundationContextMenus.SourceControlHistoryChangesets.TfsContextHistoryGetThisVersion,20,CMO
309,Tools.ExternalCommand1,20,Actions
310,View.Data Tools Operations,9,NULL
311,Window.Dock,26,Actions
312,ReSharper.ReSharper_FindUsagesAdvanced,10,Tools
313,Debug.BreakatFunction,43,Debug
314,Build.PublishSelection,8,Build
315,Debug.HexadecimalDisplay,12,Debug
316,Edit.SwitchtoReplaceInFiles,20,Search
317,TestExplorer.DebugAllTests,12,Test
318,View.Package/Publish Web,7,NULL
319,View.OpenWith,28,Actions
320,Edit.DocumentEndExtend,19,Navigation.Unstructured
321,TeamFoundationContextMenus.BuildExplorer.RetryBuild,8,CMO
322,TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageView,22,CMO
323,TeamFoundationContextMenus.FolderDifference.TfsContextFolderDiffCheckOutForEdit,10,CMO
324,View.Memory 1,9,NULL
325,View.CodeNavigationWindow,32,NULL
